"","geo_merge","cases_final","case_rate_final","adj_case_rate_final","deaths_final","death_rate_final","adj_death_rate_final","persons_tested_final","testing_rate_final","adj_testing_rate_final","population"
"1","City of Agoura Hills",35,35,165,0,0,0,745,3568,3180,20883
"2","City of Alhambra",191,191,200,8,9,6,3884,4479,4272,86724
"3","City of Arcadia",80,80,123,5,9,6,1549,2682,2649,57754
"4","City of Artesia",31,31,166,0,0,0,517,3078,2845,16795
"5","City of Azusa",162,162,330,5,10,13,1360,2718,2787,50040
"6","City of Baldwin Park",303,303,394,6,8,8,2386,3108,3082,76769
"7","City of Bell",300,300,897,23,63,89,1184,3259,3380,36332
"8","City of Bell Gardens",266,266,694,10,23,42,1061,2463,2571,43071
"9","City of Bellflower",368,368,477,17,22,25,3474,4469,4409,77735
"10","City of Beverly Hills",137,137,362,5,14,8,2435,7054,6516,34520
"11","City of Bradbury",3,3,372,0,0,0,9,842,859,1069
"12","City of Burbank",394,394,315,39,36,28,4925,4595,4248,107180
"13","City of Calabasas",59,59,208,7,29,24,995,4091,3851,24323
"14","City of Carson",400,400,406,24,26,19,3778,4026,3839,93846
"15","City of Cerritos",118,118,244,1,2,1,1738,3471,3454,50067
"16","City of Claremont",38,38,115,0,0,0,1069,2930,3016,36484
"17","City of Commerce",58,58,444,0,0,0,370,2831,2836,13069
"18","City of Compton",528,528,543,14,14,20,3825,3829,3977,99904
"19","City of Covina",156,156,315,6,12,12,1764,3598,3519,49032
"20","City of Cudahy",202,202,866,5,21,36,733,3011,3113,24347
"21","City of Culver City",144,144,306,17,43,27,2753,6906,6404,39865
"22","City of Diamond Bar",60,60,96,1,2,1,1501,2610,2436,57515
"23","City of Downey",605,605,517,22,19,18,4449,3894,3806,114263
"24","City of Duarte",116,116,435,14,64,39,909,4129,3891,22016
"25","City of El Monte",492,492,417,20,17,18,3841,3275,3230,117269
"26","City of El Segundo",34,34,193,0,0,0,763,4545,4398,16786
"27","City of Gardena",257,257,376,22,36,24,2772,4521,4278,61310
"28","City of Glendale",960,960,385,79,38,26,8252,3996,3638,206493
"29","City of Glendora",139,139,233,6,11,9,1563,2962,2870,52764
"30","City of Hawaiian Gardens",50,50,338,0,0,0,362,2467,2447,14676
"31","City of Hawthorne",383,383,433,10,11,14,4163,4689,4637,88787
"32","City of Hermosa Beach",29,29,138,2,10,13,852,4331,4086,19670
"33","City of Hidden Hills",1,1,27,0,0,0,82,4339,3894,1890
"34","City of Huntington Park",448,448,765,9,15,19,1800,3026,3038,59484
"35","City of Industry",10,10,2175,2,458,556,89,20366,18978,437
"36","City of Inglewood",568,568,496,54,48,52,5677,4998,4876,113582
"37","City of Irwindale",4,4,244,0,0,0,42,2879,2902,1459
"38","City of La Canada Flintridge",50,50,308,5,24,13,759,3668,4407,20693
"39","City of La Habra Heights",8,8,127,0,0,0,28,513,663,5455
"40","City of La Mirada",161,161,278,10,20,14,1303,2627,2574,49599
"41","City of La Puente",112,112,262,0,0,0,1133,2784,2755,40697
"42","City of La Verne",30,30,83,1,3,1,896,2692,2599,33282
"43","City of Lakewood",173,173,214,5,6,5,2961,3685,3605,80362
"44","City of Lancaster",558,558,352,12,7,8,5114,3165,3214,161570
"45","City of Lawndale",116,116,338,4,12,17,1350,4016,3921,33614
"46","City of Lomita",50,50,222,6,29,19,701,3382,3202,20729
"47","City of Lynwood",552,552,905,32,44,72,2589,3593,3832,72047
"48","City of Malibu",35,35,233,1,8,4,1492,11511,9602,12961
"49","City of Manhattan Beach",77,77,190,2,6,6,1416,3933,3763,35999
"50","City of Maywood",252,252,994,7,25,37,953,3398,3576,28049
"51","City of Monrovia",154,154,380,19,49,49,1410,3634,3535,38800
"52","City of Montebello",362,362,533,15,23,18,2211,3435,3341,64375
"53","City of Monterey Park",147,147,227,6,10,5,2005,3220,3195,62262
"54","City of Norwalk",395,395,358,13,12,12,3385,3145,3089,107622
"55","City of Palmdale",689,689,439,16,10,12,6425,4042,4145,158968
"56","City of Palos Verdes Estates",42,42,245,1,7,4,373,2758,2865,13522
"57","City of Paramount",304,304,551,8,14,17,2020,3606,3650,56023
"58","City of Pico Rivera",473,473,697,27,42,37,2310,3593,3439,64284
"59","City of Pomona",429,429,276,11,7,10,4571,2931,2969,155931
"60","City of Rancho Palos Verdes",92,92,193,11,26,12,1657,3876,4006,42747
"61","City of Redondo Beach",138,138,195,8,12,12,2930,4265,4134,68697
"62","City of Rolling Hills",2,2,61,0,0,0,58,2990,3111,1940
"63","City of Rolling Hills Estates",14,14,278,0,0,0,267,3291,3543,8113
"64","City of Rosemead",91,91,158,3,5,4,1447,2614,2527,55350
"65","City of San Dimas",52,52,148,1,3,2,1168,3384,3322,34516
"66","City of San Fernando",188,188,792,7,28,34,1416,5753,5730,24612
"67","City of San Gabriel",136,136,271,10,24,15,1327,3240,3044,40954
"68","City of San Marino",22,22,150,1,8,4,399,3005,3008,13277
"69","City of Santa Clarita",716,716,336,16,7,8,9604,4357,4325,220424
"70","City of Santa Fe Springs",56,56,309,0,0,0,525,2859,2914,18364
"71","City of Santa Monica",261,261,232,18,19,14,6633,7175,6301,92446
"72","City of Sierra Madre",10,10,84,0,0,0,376,3422,3453,10989
"73","City of Signal Hill",25,25,219,0,0,0,395,3348,3317,11797
"74","City of South El Monte",79,79,389,2,10,9,688,3294,3263,20885
"75","City of South Gate",539,539,549,14,14,17,2852,2906,2917,98155
"76","City of South Pasadena",123,123,406,18,69,54,1266,4859,4794,26053
"77","City of Temple City",155,155,315,19,52,32,1501,4117,3817,36455
"78","City of Torrance",363,363,214,45,30,22,5605,3755,3583,149268
"79","City of Vernon",2,2,682,0,0,0,27,12919,16349,209
"80","City of Walnut",45,45,121,1,3,1,748,2450,2356,30532
"81","City of West Covina",320,320,277,7,6,6,3446,3184,3079,108235
"82","City of West Hollywood",179,179,378,4,11,7,2993,8100,6576,36951
"83","City of Westlake Village",6,6,45,0,0,0,78,933,900,8360
"84","City of Whittier",300,300,332,10,11,11,2555,2922,2876,87432
"85","Los Angeles - Adams-Normandie",51,51,612,2,24,28,357,4353,4241,8202
"86","Los Angeles - Alsace",47,47,371,0,0,0,512,4114,4030,12445
"87","Los Angeles - Angelino Heights",16,16,540,0,0,0,176,7034,6485,2502
"88","Los Angeles - Arleta",271,271,761,6,17,18,2103,6119,5952,34370
"89","Los Angeles - Atwater Village",51,51,336,2,14,11,886,6041,5828,14666
"90","Los Angeles - Baldwin Hills",162,162,481,9,29,22,1938,6227,5913,31125
"91","Los Angeles - Bel Air",35,35,411,0,0,0,570,6762,6750,8429
"92","Los Angeles - Beverly Crest",37,37,300,2,16,9,699,5581,5591,12525
"93","Los Angeles - Beverlywood",37,37,269,0,0,0,870,6604,6817,13173
"94","Los Angeles - Boyle Heights",653,653,760,12,14,16,3996,4599,4606,86884
"95","Los Angeles - Brentwood",78,78,228,1,3,3,2176,7030,6318,30955
"96","Los Angeles - Cadillac-Corning",29,29,440,1,14,27,302,4241,4104,7121
"97","Los Angeles - Canoga Park",486,486,752,25,38,49,3676,5630,5545,65289
"98","Los Angeles - Carthay",77,77,567,7,49,20,1404,9775,11466,14363
"99","Los Angeles - Central",389,389,1051,15,38,56,1815,4655,4971,38992
"100","Los Angeles - Century City",33,33,258,0,0,0,900,7036,7218,12792
"101","Los Angeles - Century Palms/Cove",247,247,760,2,6,5,1415,4191,4437,33766
"102","Los Angeles - Chatsworth",184,184,444,23,62,41,2557,6899,6352,37061
"103","Los Angeles - Cheviot Hills",21,21,238,1,11,5,597,6510,6542,9171
"104","Los Angeles - Chinatown",21,21,281,1,12,10,362,4513,4360,8021
"105","Los Angeles - Cloverdale/Cochran",61,61,407,3,21,22,704,4837,4645,14553
"106","Los Angeles - Country Club Park",94,94,518,18,119,90,738,4870,4563,15153
"107","Los Angeles - Crenshaw District",68,68,494,3,22,15,1001,7238,6982,13829
"108","Los Angeles - Crestview",87,87,698,14,123,114,860,7565,7328,11368
"109","Los Angeles - Del Rey",74,74,226,3,10,7,1592,5318,5015,29936
"110","Los Angeles - Downtown",137,137,453,3,11,4,2621,9528,8533,27507
"111","Los Angeles - Eagle Rock",172,172,392,12,30,21,2288,5779,5503,39589
"112","Los Angeles - East Hollywood",221,221,692,35,120,103,1589,5426,4984,29287
"113","Los Angeles - Echo Park",44,44,289,1,7,9,925,6488,5859,14256
"114","Los Angeles - El Sereno",160,160,372,15,36,30,2071,4954,4902,41808
"115","Los Angeles - Elysian Park",16,16,254,0,0,0,281,4919,4444,5712
"116","Los Angeles - Elysian Valley",55,55,501,0,0,0,568,5584,5279,10171
"117","Los Angeles - Encino",124,124,247,12,27,13,2880,6376,6127,45172
"118","Los Angeles - Exposition",9,9,265,0,0,0,166,4991,4886,3326
"119","Los Angeles - Exposition Park",240,240,568,11,24,30,1894,4217,4357,44917
"120","Los Angeles - Faircrest Heights",4,4,100,1,28,23,187,5194,4992,3600
"121","Los Angeles - Figueroa Park Square",37,37,441,0,0,0,407,4667,4807,8721
"122","Los Angeles - Florence-Firestone",371,371,820,10,21,32,2036,4291,4429,47445
"123","Los Angeles - Glassell Park",181,181,533,5,16,14,1589,5028,4863,31604
"124","Los Angeles - Gramercy Place",66,66,634,2,19,12,664,6169,5889,10764
"125","Los Angeles - Granada Hills",312,312,462,23,40,28,3431,5896,5560,58191
"126","Los Angeles - Green Meadows",157,157,743,4,19,25,851,3957,4112,21505
"127","Los Angeles - Hancock Park",79,79,414,2,12,12,999,5863,5895,17039
"128","Los Angeles - Harbor City",93,93,301,4,14,11,1026,3529,3409,29070
"129","Los Angeles - Harbor Gateway",131,131,298,4,9,9,1527,3502,3469,43600
"130","Los Angeles - Harbor Pines",9,9,398,0,0,0,98,4068,3799,2409
"131","Los Angeles - Harvard Heights",130,130,733,13,72,87,891,4940,4865,18035
"132","Los Angeles - Harvard Park",293,293,781,3,8,7,1937,5106,5135,37935
"133","Los Angeles - Highland Park",194,194,388,1,2,2,2135,4412,4290,48391
"134","Los Angeles - Historic Filipinotown",131,131,873,5,36,30,971,7001,6533,13870
"135","Los Angeles - Hollywood",268,268,334,6,9,9,3971,5818,4942,68254
"136","Los Angeles - Hollywood Hills",81,81,272,5,17,16,1810,6149,5901,29434
"137","Los Angeles - Hyde Park",141,141,470,3,11,8,1703,5967,5848,28541
"138","Los Angeles - Jefferson Park",38,38,464,1,12,10,427,5289,5257,8073
"139","Los Angeles - Koreatown",265,265,487,16,31,32,2044,3954,3683,51693
